Floor_Num,Total_Floor_Area,Column_Area,Masonry_Wall_AreaEW,Captive_Columns,Damage_Class
2,1797,6.21,9.49,1,4
1,577,2,1.68,0,2
3,498,1.5,0.4,0,2
2,310,1.4,0,0,2
3,287,0.74,1.74,1,4
2,291,0.63,3.01,0,4
2,449,0.75,3.6,0,3
2,1548,6.46,4.34,1,4
2,340,1.16,3.09,0,4
2,587,2.61,2.12,1,2
1,253,2.33,1.19,1,4
2,555,3.23,3.92,1,3
3,838,3.26,2.33,1,4
2,1114,3.12,5.7,0,2
2,258,0.41,6.22,0,2
2,645,2.99,6.19,0,2
2,234,1.41,0.84,0,4
2,514,0.7,3.74,0,2
2,449,1.03,5.8,0,2
2,281,1.34,3.08,0,2
2,287,0.6,3.94,0,2
3,1934,5.72,10.28,0,2
2,192,1.2,0,1,2
2,336,1.84,1.86,1,3
2,235,1.32,4.39,1,3
4,2090,3.74,12.1,0,2
4,1672,2.51,6.98,1,4
1,397,4.02,4.87,1,3
2,1004,4.99,4.2,1,4
2,1422,6.66,3.52,1,4
2,450,4.15,4.03,1,3
3,769,2.92,2.17,1,2
4,1774,5.02,0,1,4
3,683,2.39,5.9,1,3
3,766,2.66,0,1,4
4,1462,5.32,2.22,1,3
2,1895,6.21,16.52,1,4
1,798,2.82,4.55,1,2
3,1137,2.39,1.13,1,2
2,318,1.27,2.47,0,2
1,356,2.67,2.42,0,4
2,446,0.44,0,0,2
3,404,1.42,3.13,1,4
2,325,1.24,0.99,1,4
2,1129,3.51,2.2,1,4
2,676,2.94,0,1,3
3,407,1.34,0,1,4
2,466,3.8,5.53,1,2
3,700,3.8,5.53,1,3
2,170,0.47,0.82,0,2
2,149,0.51,0,1,4
1,213,1.98,3.57,0,3
2,145,0.63,0.04,0,4
2,180,0.6,0.58,0,4
2,540,1.03,4.22,1,4
1,172,0.81,0,0,2
2,714,1.97,0,1,4
3,632,3.79,3.63,0,4
3,683,1.53,0,1,3
3,739,2.14,0,1,3
3,447,1.27,2.71,1,2
3,351,1.27,0,1,2
3,367,1.04,0,1,2
4,3216,7.05,15.85,0,4
4,771,2.15,0.11,1,4
3,1479,2.5,13.02,1,3
3,762,3.5,1.16,1,4
4,874,4.67,2.67,0,3
4,578,3.92,1.6,0,2
2,1934,4.65,28.27,1,3
2,1934,4.65,28.27,1,2
3,1042,3.21,7.44,1,2
2,503,1.25,6.7,0,2
2,586,0.65,1.74,1,2
2,516,0.76,2.33,1,2
2,221,1.94,5.38,1,2
2,260,0.07,18.19,1,4
2,267,1.2,4.28,1,2
2,133,0.6,1.92,1,4
2,508,0.11,5.49,1,4
2,350,0.23,6.14,1,4
5,1686,3.91,0,1,4
2,120,0.47,2.79,1,4
2,299,0.62,2.17,1,4
2,132,1.15,0.47,1,2
2,164,0.58,1.13,1,4
2,502,1.08,4.82,1,2
1,181,0.89,2.21,1,2
2,254,0.29,4.88,1,4
2,377,1.3,0.76,1,4
3,187,0.77,5.3,0,2
1,299,0.93,5.12,1,2
2,78,0.36,0.84,1,2
2,635,1.54,5.26,0,4
2,1127,3.41,0,1,2
3,193,0.64,0.64,0,2
2,514,0.77,1.74,1,2
2,1382,1.53,5.64,1,2
2,393,1.65,3.44,1,2
3,848,2.68,1.09,1,3
2,237,0.42,0.3,1,4
3,191,0.71,1.02,1,2
3,502,2.33,5.58,0,2
3,1356,3.26,5.67,0,3
2,2095,4.81,4.42,0,2
3,1825,3.96,5,0,2
4,2120,3.75,9.07,1,3
2,1583,6.22,13.89,1,4
1,160,0.28,5.36,0,2
1,419,3.98,4.34,0,4
1,531,4.76,12.12,0,3
1,419,3.98,4.34,0,4
3,402,2.93,4.46,1,2
2,654,2.88,6.82,0,2
2,211,2.31,1.74,0,3
2,150,0.17,8.06,0,4
2,274,1.4,2.82,0,2
2,216,0.28,2.56,1,4
2,134,0.84,0.59,1,4
2,370,1.4,1.07,1,2
2,203,0.28,1.07,1,2
2,207,2,1.12,1,2
2,423,2.87,10.11,1,2
3,636,3.28,0.67,1,4
2,275,0.29,9.46,1,2
2,180,0.12,9.95,0,2
2,96,0,1.47,0,4
3,751,4.09,12.56,0,3
2,99,0,2.71,0,2
2,226,1.62,0.81,0,4
3,386,0.77,3.41,0,4
2,182,0.52,4.6,1,2
2,213,,3.36,0,2
2,157,0.19,1.12,0,4
2,106,,2.35,0,2
2,374,1.34,0.6,0,4
2,190,0.37,1.74,0,4
2,245,0.3,2.88,0,2
2,196,0.17,0,0,2
3,839,2.23,4.23,1,2
2,292,0.64,0,1,4
2,398,0.39,0,1,4
2,622,3.97,0,1,2
4,1721,7.53,0,1,3
5,4703,24.56,7.38,0,2
3,2512,10.8,5.6,1,4
3,2412,8.8,22.1,1,4
5,4975,13.2,0,0,4
5,2135,6,0,0,4
4,682,0,0,0,4
4,647,2.4,0,0,4
4,823,2.8,0,0,2
4,608,2.6,0,0,3
4,713,2.4,0,0,4
4,770,3.2,0,0,4
4,630,4,0,0,2
4,862,2.4,0,0,2
3,1136,6.9,4,0,2
5,608,2.8,0,0,4
4,780,3,0,0,3
4,744,3.2,0,0,4
4,789,3.2,0,0,4
4,930,4.2,0,0,4
4,908,4.2,0,0,4
4,642,2.9,0,0,3
4,995,3.5,0,0,4
4,995,3.1,0,0,4
4,727,3.3,0,0,2
3,1332,7.4,0.3,1,4
3,1950,3.9,1.8,1,4
4,1006,3.4,0,0,3
5,1014,6,0,0,1
4,618,2.74,0,0,2
4,730.2,3.25,0,0,2
4,609.4,1.85,0,0,4
3,625,3.63,0,1,4
4,783.6,3.31,0,1,3
4,1057.3,3.15,0,0,2
4,889.8,4.79,0,0,4
4,836.8,4.09,0,1,4
4,836.8,4.12,0,1,4
3,179.6,0,0,0,1
3,179.6,0,0,0,1
3,179.6,0,0,0,1
4,860.1,2.63,0,0,4
4,910.2,2.18,0,0,3
4,582.4,3.23,0,0,1
3,499.1,4.15,0,0,2
4,977.6,3.45,0,0,2
4,727,3.82,0,0,4
4,883.2,3.52,0,0,4
4,690.7384,2.88,0,0,4
4,974.4,5.6,0,0,3
4,622.2,2.48,0,0,4
4,650.6,2.7,0,0,2
4,771.9,1.65,0.71,0,2
4,505.5,2.39,0,0,3
4,913,5.62,0,0,4
